day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-08-16,-0.13770855458612266,0.05344095081443504,0.599677877950493,1.5378378418616963,2.0
2022-08-17,-0.17549701330006642,1.0,-0.5022397538027118,1.0,1.0
2022-08-22,0.023273587700948895,0.9640374428404582,-0.15356665725761834,0.8149099866661048,2.0
2022-08-23,1.1641730643627417,1.0,-0.6958257077481184,1.0,1.0
2022-08-24,0.1333142101882813,0.37705272223529757,0.8929935185416212,1.0915003096284126,3.0
2022-08-27,-0.8772766960191186,0.4392689161193427,-0.18560175234720494,0.2624805153696297,2.0
2022-08-29,0.3120477331074296,1.3533265512228076,-0.3619371771300263,0.0,2.0
2022-08-31,-0.7529568763228336,0.8122352746755108,-0.5086629816874534,0.3127279487085955,2.0
2022-09-02,-2.639451896784024,1.0,-0.5022397538027118,1.0,1.0
2022-09-05,-1.442023859486946,1.0,-0.6806872264047406,1.0,1.0
