,phrase,label,sentiment,subjectivity,language,count
britischem,britischem,MISC,,,de,7
ESC,ESC,MISC,,,de,7
Kyiv Independent,Kyiv Independent,MISC,,,de,7
Solar-Anlage,Solar-Anlage,MISC,-1.0,0.0,de,7
Russische Invasion,Russische Invasion,MISC,,,de,7
ungarische,ungarische,MISC,,,de,7
Schlacht um die ostukrainische Stadt,Schlacht um die ostukrainische Stadt,MISC,,,de,6
sudanesische Armee,sudanesische Armee,MISC,,,de,6
Nato-Mitglied,Nato-Mitglied,MISC,,,de,6
HeizkostenBeim,HeizkostenBeim,MISC,,,de,6
afrikanischen,afrikanischen,MISC,,,de,6
Russlands Invasion,Russlands Invasion,MISC,,,de,6
finnische,finnische,MISC,,,de,6
Liveblog zur Energiekrise,Liveblog zur Energiekrise,MISC,,,de,6
Russlands Armee,Russlands Armee,MISC,-0.5,0.0,de,6
Dieser Krieg,Dieser Krieg,MISC,,,de,6
BalkonkraftwerkÖko-Strom für jeden,BalkonkraftwerkÖko-Strom für jeden,MISC,,,de,6
Ukraine-Konflikt,Ukraine-Konflikt,MISC,,,de,6
Facebook,Facebook,MISC,,,de,6
Entwarnung,Entwarnung,MISC,0.0,0.0,de,6
Berliner Senat,Berliner Senat,MISC,,,de,6
Schneller Schlau,Schneller Schlau,MISC,,,de,6
Ukrainekrieges,Ukrainekrieges,MISC,0.35,0.5,de,6
Deutsch,Deutsch,MISC,,,de,6
Ostfront,Ostfront,MISC,,,de,6
Preissteigerungen,Preissteigerungen,MISC,,,de,6
Russische Invasion,Russische Invasion,MISC,,,de,6
Leopard 1,Leopard 1,MISC,,,de,6
Marvel-Universum,Marvel-Universum,MISC,,,de,6
hessische,hessische,MISC,,,de,6
Die Nacht im Überblick,Die Nacht im Überblick,MISC,,,de,6
Der Mann,Der Mann,MISC,,,de,6
Kriege,Kriege,MISC,,,de,6
Kampfjet-Koalition,Kampfjet-Koalition,MISC,0.0,0.0,de,6
Online-Lehre,Online-Lehre,MISC,,,de,6
niedersächsischen,niedersächsischen,MISC,,,de,6
Münchener,Münchener,MISC,,,de,6
Zweiten Weltkriegs,Zweiten Weltkriegs,MISC,,,de,6
Dieses Jahr,Dieses Jahr,MISC,,,de,6
Londoner,Londoner,MISC,,,de,6
Ampel-Regierung,Ampel-Regierung,MISC,,,de,6
ungarischen,ungarischen,MISC,,,de,6
bayerische,bayerische,MISC,,,de,6
Invasion in der Ukraine,Invasion in der Ukraine,MISC,,,de,6
Gebäudeenergiegesetz,Gebäudeenergiegesetz,MISC,,,de,6
brasilianische,brasilianische,MISC,,,de,6
Mo,Mo,MISC,,,de,6
Kachowka-Staudamms,Kachowka-Staudamms,MISC,-0.7,1.0,de,6
Energie-Infrastruktur,Energie-Infrastruktur,MISC,0.0,0.0,de,6
Panzerzug,Panzerzug,MISC,,,de,6
Atomkriegs,Atomkriegs,MISC,,,de,6
pro-russischen,pro-russischen,MISC,,,de,5
SERIE,SERIE,MISC,,,de,5
Das Jahr,Das Jahr,MISC,,,de,5
Gepard-Panzer,Gepard-Panzer,MISC,,,de,5
russischen Verteidigungsministerium,russischen Verteidigungsministerium,MISC,,,de,5
Kriegsrecht,Kriegsrecht,MISC,,,de,5
Invasion in die Ukraine,Invasion in die Ukraine,MISC,,,de,5
Karlsruher,Karlsruher,MISC,,,de,5
Höegh Esperanza,Höegh Esperanza,MISC,,,de,5
Preis des Terminkontrakts TTF,Preis des Terminkontrakts TTF,MISC,,,de,5
Russisches Militär,Russisches Militär,MISC,,,de,5
Kampfgebieten,Kampfgebieten,MISC,,,de,5
Wind und Sonne,Wind und Sonne,MISC,,,de,5
Netflix,Netflix,MISC,,,de,5
Reservistenverbandes,Reservistenverbandes,MISC,,,de,5
Bundeswehr-Bestä,Bundeswehr-Bestä,MISC,,,de,5
Stellungskrieg,Stellungskrieg,MISC,,,de,5
We collect personal data and also transmit it,We collect personal data and also transmit it,MISC,,,de,5
